user_id,movie_id,watch_timestamp,watch_duration,completed,device_type,watch_hour,watch_day_of_week
U0000,M0577,2025-03-11 02:06:31.582371,31.29,False,SmartTV,6,Saturday
U0000,M0444,2025-07-31 02:06:31.582371,91.84,False,Web,13,Saturday
U0000,M0185,2023-12-10 02:06:31.582371,72.24,False,Web,19,Friday
U0000,M0981,2025-08-15 02:06:31.582371,17.64,False,Mobile,16,Saturday
U0000,M0518,2025-05-22 02:06:31.582371,20.28,False,Mobile,3,Thursday
U0000,M0688,2024-03-19 02:06:31.582371,100.21,False,Web,16,Tuesday
U0000,M0557,2024-08-29 02:06:31.582371,95.18,False,Web,5,Monday
U0000,M0725,2025-03-12 02:06:31.582371,87.47,False,SmartTV,22,Thursday
U0000,M0329,2024-08-01 02:06:31.582371,30.47,False,Mobile,21,Monday
U0000,M0778,2026-03-14 02:06:31.582371,23.06,False,Tablet,4,Monday
U0000,M0709,2025-11-04 02:06:31.582371,54.78,False,Mobile,8,Saturday
U0000,M0615,2024-04-21 02:06:31.582371,59.26,False,Web,8,Thursday
U0000,M0516,2023-10-19 02:06:31.582371,17.87,False,SmartTV,1,Sunday
U0000,M0380,2024-06-21 02:06:31.582371,37.81,False,Web,13,Saturday
U0000,M0330,2023-12-25 02:06:31.582371,13.93,False,Mobile,0,Sunday
U0000,M0120,2024-01-17 02:06:31.582371,76.2,False,SmartTV,10,Wednesday
U0000,M0999,2026-03-01 02:06:31.582371,46.59,False,Web,23,Monday
U0000,M0112,2024-09-13 02:06:31.582371,97.53,False,SmartTV,3,Thursday
U0000,M0082,2024-10-11 02:06:31.582371,100.29,True,Web,12,Saturday
U0000,M0810,2026-01-16 02:06:31.582371,82.98,False,Tablet,20,Sunday
U0000,M0157,2024-02-15 02:06:31.582371,20.91,False,Mobile,5,Monday
U0001,M0016,2024-04-14 02:06:31.582395,141.34,True,Tablet,18,Saturday
U0001,M0234,2024-05-06 02:06:31.582395,35.21,False,Tablet,11,Friday
U0001,M0088,2023-03-14 02:06:31.582395,104.91,False,SmartTV,15,Thursday
U0001,M0645,2023-06-08 02:06:31.582395,98.6,False,Tablet,1,Monday
U0001,M0292,2023-11-07 02:06:31.582395,103.19,False,Mobile,22,Sunday
U0001,M0474,2025-01-07 02:06:31.582395,66.0,False,SmartTV,21,Sunday
U0001,M0791,2024-01-25 02:06:31.582395,62.8,False,Mobile,13,Saturday
U0001,M0476,2025-02-26 02:06:31.582395,27.55,False,Web,21,Saturday
U0001,M0498,2024-11-30 02:06:31.582395,47.82,False,Mobile,0,Saturday
U0001,M0870,2025-09-26 02:06:31.582395,26.02,False,Tablet,15,Sunday
