movie_id,title,ranking_score
M0032,Movie 32,997.6231101967702
M0863,Movie 863,985.2098451966583
M0636,Movie 636,975.1665461275566
M0508,Movie 508,962.3653978398555
M0483,Movie 483,959.6580208166929
M0205,Movie 205,944.3581625862149
M0758,Movie 758,937.0884590238569
M0282,Movie 282,928.4935243240474
M0064,Movie 64,925.3112350885822
M0332,Movie 332,922.823405305037
M0031,Movie 31,917.8071163039889
M0599,Movie 599,915.2528621623833
M0435,Movie 435,913.6131881102374
M0206,Movie 206,903.3466174407429
M0459,Movie 459,902.2440532381142
M0265,Movie 265,897.4681560985996
M0291,Movie 291,896.607882613611
M0382,Movie 382,895.6734400397105
M0635,Movie 635,894.8178367851023
M0424,Movie 424,888.6920406587648
M0051,Movie 51,888.6581126837269
M0688,Movie 688,884.2693855131728
M0278,Movie 278,881.8501128473088
M0759,Movie 759,867.5233193027715
M0157,Movie 157,865.303890910068
M0411,Movie 411,864.8105742453141
M0782,Movie 782,853.2185907546218
M0657,Movie 657,843.6295797280342
M0002,Movie 2,836.6595554061162
M0462,Movie 462,835.2338481057855
M0320,Movie 320,814.1965355741365
M0391,Movie 391,813.4019773493782
M0591,Movie 591,811.2177785691972
M0949,Movie 949,785.5162254946304
M0331,Movie 331,784.3890607660912
M0436,Movie 436,776.146103808862
M0116,Movie 116,773.647721628939
M0440,Movie 440,772.9176455135829
M0273,Movie 273,764.4109799514798
M0955,Movie 955,764.1047694578335
M0442,Movie 442,761.3804990051885
M0898,Movie 898,760.7923068130439
M0187,Movie 187,758.2022414835052
M0679,Movie 679,740.4303297935538
M0995,Movie 995,737.2683869180062
M0594,Movie 594,735.6687164747449
M0907,Movie 907,734.2463782704793
M0837,Movie 837,730.8051627969878
M0618,Movie 618,730.3357691622994
M0662,Movie 662,727.2815567921792
