movie_id,title,ranking_score
M0933,Movie 933,999.041264294408
M0097,Movie 97,998.9594654152942
M0085,Movie 85,995.3417009225063
M0330,Movie 330,993.4899104669161
M0998,Movie 998,991.8953252304699
M0349,Movie 349,985.7741309760341
M0760,Movie 760,983.3545625234457
M0176,Movie 176,982.2951073147152
M0216,Movie 216,974.1652718654201
M0917,Movie 917,972.784171709392
M0095,Movie 95,968.5960883571674
M0294,Movie 294,967.0526720425331
M0990,Movie 990,962.8757697662837
M0286,Movie 286,962.7108084244351
M0171,Movie 171,962.65794448258
M0614,Movie 614,962.3402409767493
M0787,Movie 787,955.3908635630049
M0816,Movie 816,954.0166894244502
M0586,Movie 586,944.7134542754786
M0572,Movie 572,933.2755759249151
M0248,Movie 248,930.232766556061
M0744,Movie 744,922.2308853015401
M0072,Movie 72,921.9515605433113
M0131,Movie 131,918.5729893483905
M0970,Movie 970,915.6150901437123
M0126,Movie 126,912.3201803779698
M0832,Movie 832,906.6046648209134
M0165,Movie 165,905.7630544125665
M0940,Movie 940,905.2256383825576
M0014,Movie 14,894.9573293744778
M0142,Movie 142,892.0342191977674
M0647,Movie 647,891.2040967114747
M0934,Movie 934,889.5699195681892
M0607,Movie 607,889.0056291961308
M0590,Movie 590,888.7375983781121
M0190,Movie 190,887.379146498558
M0484,Movie 484,884.5265280007822
M0630,Movie 630,883.4893171616503
M0854,Movie 854,882.6596270470318
M0952,Movie 952,880.6406025137953
M0197,Movie 197,875.7857084433438
M0073,Movie 73,875.2252749865822
M0493,Movie 493,867.8731595159777
M0432,Movie 432,861.5645260071188
M0018,Movie 18,859.4857989889548
M0767,Movie 767,858.6553526180581
M0588,Movie 588,850.9894984573505
M0600,Movie 600,841.3486715402607
M0982,Movie 982,839.6951451255295
M0833,Movie 833,839.3554236954442
