movie_id,title,ranking_score
M0032,Movie 32,997.6521904626135
M0863,Movie 863,985.1915634491962
M0636,Movie 636,975.1657017430932
M0508,Movie 508,962.4069966099146
M0483,Movie 483,959.6541680866438
M0205,Movie 205,944.3933987281794
M0758,Movie 758,937.0920514064585
M0282,Movie 282,928.5493734500238
M0064,Movie 64,925.3607053050438
M0332,Movie 332,922.861409090678
M0031,Movie 31,917.8263883349495
M0599,Movie 599,915.2583063461119
M0435,Movie 435,913.6437882717393
M0206,Movie 206,903.3873263941834
M0459,Movie 459,902.2365509561695
M0291,Movie 291,896.6588887834969
M0382,Movie 382,895.7001275369214
M0635,Movie 635,894.8162051356302
M0424,Movie 424,888.7007181137609
M0051,Movie 51,888.6754822916507
M0688,Movie 688,884.2727409664147
M0278,Movie 278,881.8684813006475
M0759,Movie 759,867.5131064037552
M0157,Movie 157,865.3799413130541
M0411,Movie 411,864.8097619184879
M0362,Movie 362,856.4862112263958
M0782,Movie 782,853.2590875097607
M0657,Movie 657,843.6873233823455
M0002,Movie 2,836.7059783276944
M0462,Movie 462,835.2863645328478
M0320,Movie 320,814.2523307510832
M0391,Movie 391,813.4346419736555
M0591,Movie 591,811.2607041517418
M0949,Movie 949,785.4884413925904
M0331,Movie 331,784.404635419662
M0436,Movie 436,776.1691050638618
M0116,Movie 116,773.7100714661616
M0440,Movie 440,772.9339500130951
M0955,Movie 955,764.0980199736568
M0442,Movie 442,761.3849238754186
M0898,Movie 898,760.7807538368193
M0187,Movie 187,758.258394842147
M0679,Movie 679,740.470114842191
M0995,Movie 995,737.2249376870113
M0594,Movie 594,735.7142126468765
M0907,Movie 907,734.2401226459385
M0837,Movie 837,730.8175807349114
M0618,Movie 618,730.3306409226475
M0662,Movie 662,727.3211277579636
M0579,Movie 579,707.5144901516366
