movie_id,title,ranking_score
M0933,Movie 933,999.0663052098281
M0998,Movie 998,991.9014545071981
M0349,Movie 349,985.7736219419774
M0176,Movie 176,982.3544386341624
M0216,Movie 216,974.2603339181442
M0917,Movie 917,972.7920559114826
M0095,Movie 95,968.61011798489
M0294,Movie 294,967.1326470322173
M0286,Movie 286,962.7611256319472
M0248,Movie 248,930.2875020218264
M0744,Movie 744,922.276248327002
M0131,Movie 131,918.6184490625249
M0165,Movie 165,905.8312403987588
M0940,Movie 940,905.2483090493336
M0014,Movie 14,894.9902985864466
M0142,Movie 142,892.0710047935975
M0607,Movie 607,889.0703409415032
M0590,Movie 590,888.8071465265956
M0493,Movie 493,867.8746543710942
M0018,Movie 18,859.5319192749226
M0588,Movie 588,851.0348100461949
M0833,Movie 833,839.3863530358236
M0848,Movie 848,837.3948236640515
M0663,Movie 663,836.6034207149119
M0583,Movie 583,825.4888497710821
M0555,Movie 555,822.3767639307961
M0166,Movie 166,818.7123301150069
M0604,Movie 604,806.6066460613508
M0905,Movie 905,806.5112064124838
M0295,Movie 295,803.5104346503896
M0943,Movie 943,790.6320251572511
M0255,Movie 255,786.5533345909149
M0118,Movie 118,785.171739758314
M0514,Movie 514,784.8105050437997
M0897,Movie 897,782.5428219377903
M0344,Movie 344,779.2315828180049
M0135,Movie 135,775.1081043484102
M0537,Movie 537,772.6365969637638
M0509,Movie 509,771.4980612599269
M0129,Movie 129,764.8441742814359
M0203,Movie 203,761.1910192221172
M0188,Movie 188,758.4402493887474
M0163,Movie 163,757.0950124332643
M0087,Movie 87,756.8400845271091
M0640,Movie 640,756.8313915882181
M0977,Movie 977,754.5930259848348
M0438,Movie 438,754.450305640571
M0260,Movie 260,745.7568439050301
M0390,Movie 390,740.830361519277
M0575,Movie 575,735.1144359846417
