movie_id,title,ranking_score
M0933,Movie 933,999.0281096867977
M0998,Movie 998,991.8603055904348
M0349,Movie 349,985.744036816678
M0176,Movie 176,982.3241659422669
M0216,Movie 216,974.2149347920137
M0917,Movie 917,972.7514046031708
M0095,Movie 95,968.5810979489715
M0294,Movie 294,967.0876688846195
M0286,Movie 286,962.7304771843062
M0248,Movie 248,930.2634901575495
M0744,Movie 744,922.233337043963
M0131,Movie 131,918.5991586446982
M0165,Movie 165,905.805180380079
M0940,Movie 940,905.2050521051726
M0014,Movie 14,894.9641852396912
M0142,Movie 142,892.0533026045825
M0607,Movie 607,889.0250618923862
M0590,Movie 590,888.7614302336586
M0493,Movie 493,867.8568177115088
M0018,Movie 18,859.5187744693867
M0588,Movie 588,850.9908723749063
M0833,Movie 833,839.347114417369
M0848,Movie 848,837.339355214378
M0663,Movie 663,836.5692533835014
M0583,Movie 583,825.4647239450288
M0555,Movie 555,822.344050142368
M0166,Movie 166,818.6985965070778
M0604,Movie 604,806.5814250489603
M0905,Movie 905,806.4845407269762
M0295,Movie 295,803.4536629445018
M0943,Movie 943,790.5911076284026
M0255,Movie 255,786.5217391187056
M0118,Movie 118,785.1547091278817
M0514,Movie 514,784.7747999584095
M0897,Movie 897,782.4957302398527
M0344,Movie 344,779.1982719608714
M0135,Movie 135,775.0998177717546
M0537,Movie 537,772.6167765006181
M0509,Movie 509,771.4542538371602
M0129,Movie 129,764.8297816774107
M0203,Movie 203,761.1555994022027
M0188,Movie 188,758.3869652454453
M0163,Movie 163,757.0655078206854
M0087,Movie 87,756.8043175624181
M0640,Movie 640,756.79219625245
M0977,Movie 977,754.5558360596276
M0438,Movie 438,754.4063891208956
M0539,Movie 539,749.2408399690809
M0260,Movie 260,745.7245290722295
M0390,Movie 390,740.8193828199156
