movie_id,title,ranking_score
M0455,Movie 455,997.0066845759749
M0098,Movie 98,996.9683996354103
M0274,Movie 274,993.4517734495976
M0942,Movie 942,992.7162457194229
M0801,Movie 801,991.4577627749161
M0669,Movie 669,988.105201949829
M0892,Movie 892,984.448842587085
M0253,Movie 253,983.8455822275937
M0252,Movie 252,982.9749269433606
M0958,Movie 958,982.7159990562305
M0941,Movie 941,969.6087395456929
M0219,Movie 219,968.7349658511081
M0453,Movie 453,961.4600967655259
M0566,Movie 566,952.2033638601455
M0883,Movie 883,945.7439790626726
M0543,Movie 543,942.6100587721119
M0671,Movie 671,935.0481655252551
M0039,Movie 39,933.5942993446644
M0775,Movie 775,933.4453598274449
M0519,Movie 519,931.9065613275011
M0821,Movie 821,930.3321990351895
M0675,Movie 675,930.319444017199
M0185,Movie 185,916.3683274101736
M0987,Movie 987,914.0918246759244
M0012,Movie 12,903.2934222487798
M0891,Movie 891,897.2741967491916
M0536,Movie 536,875.70334413986
M0461,Movie 461,869.2944389269302
M0792,Movie 792,856.6062936419444
M0820,Movie 820,855.5200881692654
M0655,Movie 655,850.7272349454857
M0523,Movie 523,846.7683666218711
M0692,Movie 692,846.5639972622613
M0456,Movie 456,846.3185953681884
M0430,Movie 430,843.7791200363956
M0840,Movie 840,843.2434741055416
M0378,Movie 378,843.1459149319697
M0608,Movie 608,841.3577157741331
M0763,Movie 763,841.1923609702516
M0629,Movie 629,838.6641164183146
M0444,Movie 444,834.355197279467
M0463,Movie 463,833.8341302829972
M0149,Movie 149,821.2822478962452
M0429,Movie 429,818.3541105756626
M0189,Movie 189,810.59067156664
M0070,Movie 70,806.4006530731815
M0520,Movie 520,790.205744711481
M0236,Movie 236,780.4151966053545
M0645,Movie 645,779.8137237280804
M0911,Movie 911,769.7596983864178
