movie_id,title,ranking_score
M0098,Movie 98,996.992634238585
M0274,Movie 274,993.4602066851209
M0801,Movie 801,991.4905535598112
M0669,Movie 669,988.1507263130802
M0892,Movie 892,984.4995766533015
M0253,Movie 253,983.8655784845498
M0252,Movie 252,982.9776245853677
M0958,Movie 958,982.767193648029
M0941,Movie 941,969.6453873590518
M0219,Movie 219,968.7511775064628
M0453,Movie 453,961.5125190269719
M0566,Movie 566,952.1988530302518
M0883,Movie 883,945.7686367746867
M0543,Movie 543,942.636392213592
M0671,Movie 671,935.0247353906855
M0039,Movie 39,933.5970447254805
M0775,Movie 775,933.4565389552234
M0519,Movie 519,931.9316265595717
M0821,Movie 821,930.3513993019264
M0675,Movie 675,930.33331806131
M0185,Movie 185,916.3821869661663
M0987,Movie 987,914.087501119706
M0012,Movie 12,903.300481131778
M0891,Movie 891,897.3122701194173
M0536,Movie 536,875.7102799522121
M0461,Movie 461,869.3078634127074
M0792,Movie 792,856.6253010031991
M0820,Movie 820,855.5602171761108
M0655,Movie 655,850.763962925258
M0523,Movie 523,846.7697250147329
M0692,Movie 692,846.5633922502341
M0456,Movie 456,846.3667170518718
M0430,Movie 430,843.8156885195056
M0840,Movie 840,843.2718346153289
M0378,Movie 378,843.1509615844681
M0608,Movie 608,841.3816720392937
M0763,Movie 763,841.1775512664985
M0629,Movie 629,838.7016768511123
M0444,Movie 444,834.391407313234
M0463,Movie 463,833.8570611610671
M0149,Movie 149,821.2572990322475
M0429,Movie 429,818.4004025038594
M0189,Movie 189,810.61590741257
M0070,Movie 70,806.3724579072492
M0520,Movie 520,790.2237151548937
M0762,Movie 762,789.7185293354174
M0236,Movie 236,780.4231992136012
M0645,Movie 645,779.8393193946523
M0911,Movie 911,769.781487109815
M0422,Movie 422,735.0610972053856
