movie_id,title,ranking_score
M0097,Movie 97,998.9561805200271
M0330,Movie 330,993.5114793416093
M0760,Movie 760,983.3695221682268
M0990,Movie 990,962.8619814694572
M0171,Movie 171,962.6683809570113
M0614,Movie 614,962.349406553992
M0787,Movie 787,955.406033493758
M0816,Movie 816,953.9994712611962
M0586,Movie 586,944.7113189577253
M0572,Movie 572,933.2774937190281
M0072,Movie 72,921.9693954708324
M0970,Movie 970,915.6317338278496
M0126,Movie 126,912.3201457835729
M0832,Movie 832,906.6083818142711
M0647,Movie 647,891.1875406677518
M0934,Movie 934,889.5577114274826
M0190,Movie 190,887.3795884040769
M0484,Movie 484,884.5325894157384
M0630,Movie 630,883.4896709068325
M0854,Movie 854,882.6655328844041
M0952,Movie 952,880.5972375609039
M0197,Movie 197,875.8113136727878
M0073,Movie 73,875.2333398640313
M0432,Movie 432,861.5575220613731
M0767,Movie 767,858.6752848828758
M0600,Movie 600,841.3582633876648
M0982,Movie 982,839.6756761865194
M0247,Movie 247,833.940077875978
M0562,Movie 562,832.9633990575293
M0950,Movie 950,827.2238606207436
M0886,Movie 886,826.1690488850023
M0280,Movie 280,825.618996717191
M0649,Movie 649,812.6244804368221
M0903,Movie 903,811.8736939594128
M0168,Movie 168,808.5449806999355
M0738,Movie 738,806.6221067423261
M0796,Movie 796,801.3923145727555
M0866,Movie 866,777.1713827637452
M0602,Movie 602,773.2616905047096
M0227,Movie 227,765.4050931313875
M0234,Movie 234,755.4271287621186
M0773,Movie 773,750.4195562247554
M0867,Movie 867,749.8876257073057
M0513,Movie 513,749.1073127718712
M0686,Movie 686,740.0777124853986
M0153,Movie 153,731.6494230257904
M0477,Movie 477,726.2626147218392
M0577,Movie 577,720.8623499719928
M0353,Movie 353,717.5136221436611
M0009,Movie 9,709.8861160968922
