user_id,age,gender,location,preferred_languages,embedding_vector,total_sessions,total_watch_minutes,avg_watch_duration,completion_rate,avg_watch_hour,most_common_day,most_used_device
U0000,56,M,Kolkata,['Kannada'],[],21,1177.8300000000002,56.087142857142865,0.047619047619047616,10.857142857142858,Saturday,Web
U0001,46,F,Chennai,['Hindi'],[],19,1306.8799999999997,68.78315789473682,0.15789473684210525,12.631578947368421,Saturday,Tablet
U0002,32,M,Bangalore,['Hindi'],[],20,1522.6100000000004,76.13050000000001,0.1,13.85,Thursday,SmartTV
U0003,60,F,Kolkata,['Kannada'],[],18,1403.53,77.9738888888889,0.1111111111111111,11.61111111111111,Saturday,Tablet
U0004,25,F,Delhi,['Tamil'],[],21,1247.7399999999998,59.416190476190465,0.09523809523809523,11.0,Friday,SmartTV
U0005,38,F,Hyderabad,['English'],[],21,1323.32,63.01523809523809,0.047619047619047616,10.619047619047619,Thursday,Mobile
U0006,56,F,Bangalore,['English'],[],18,1147.3700000000001,63.74277777777778,0.05555555555555555,11.944444444444445,Thursday,Web
U0007,36,M,Bangalore,['English'],[],23,1465.48,63.716521739130435,0.13043478260869565,13.304347826086957,Saturday,Mobile
U0008,40,M,Chennai,['Kannada'],[],19,1170.22,61.590526315789475,0.0,12.68421052631579,Friday,Tablet
U0009,28,Other,Bangalore,['Hindi'],[],28,1853.9,66.21071428571429,0.14285714285714285,13.821428571428571,Friday,Web
U0010,28,F,Delhi,['Kannada'],[],21,1450.5700000000002,69.07476190476191,0.047619047619047616,12.238095238095237,Wednesday,Web
U0011,41,Other,Delhi,['Kannada'],[],20,1074.43,53.721500000000006,0.05,12.25,Friday,SmartTV
U0012,53,M,Mumbai,"['Hindi', 'English']",[],15,985.4900000000002,65.69933333333334,0.13333333333333333,12.333333333333334,Wednesday,Tablet
U0013,57,F,Delhi,['Hindi'],[],27,1630.3699999999997,60.384074074074064,0.14814814814814814,9.185185185185185,Monday,Mobile
U0014,41,Other,Kolkata,"['Hindi', 'English']",[],24,1123.44,46.81,0.0,12.416666666666666,Tuesday,Web
U0015,20,M,Bangalore,['Telugu'],[],17,900.77,52.98647058823529,0.11764705882352941,11.705882352941176,Tuesday,Web
U0016,39,M,Delhi,['Hindi'],[],15,1018.28,67.88533333333334,0.13333333333333333,13.266666666666667,Saturday,Mobile
U0017,19,F,Chennai,['Hindi'],[],26,1615.53,62.13576923076923,0.23076923076923078,10.923076923076923,Saturday,SmartTV
U0018,41,F,Mumbai,['Hindi'],[],25,1670.29,66.8116,0.08,11.6,Thursday,SmartTV
U0019,61,F,Bangalore,['English'],[],19,1002.24,52.74947368421053,0.0,12.578947368421053,Friday,SmartTV
U0020,47,M,Mumbai,['English'],[],17,785.08,46.18117647058824,0.0,11.235294117647058,Saturday,Web
U0021,55,F,Bangalore,"['Hindi', 'English']",[],21,1094.3,52.10952380952381,0.047619047619047616,11.571428571428571,Saturday,Mobile
