movie_id,title,genre,language,release_year,duration_minutes,popularity_score,trending_now
M0097,Movie 97,['Comedy'],English,2018,112.0,998.23,False
M0085,Movie 85,"['Sci-Fi', 'Fantasy']",English,2010,105.65,994.59,False
M0330,Movie 330,"['Romance', 'Thriller']",English,2015,99.02,992.77,False
M0760,Movie 760,['Romance'],English,2004,144.93,982.58,False
M0171,Movie 171,"['Fantasy', 'Comedy', 'Sci-Fi']",English,2004,141.09,961.89,False
M0614,Movie 614,"['Action', 'Sci-Fi', 'Romance']",English,1996,113.22,961.63,False
M0990,Movie 990,"['Drama', 'Thriller']",English,2007,115.76,961.12,True
M0787,Movie 787,"['Drama', 'Fantasy']",English,2020,114.5,954.64,False
M0816,Movie 816,"['Action', 'Thriller', 'Fantasy']",English,1998,122.52,953.24,False
M0586,Movie 586,"['Documentary', 'Thriller']",English,1990,139.19,944.0,False
M0572,Movie 572,"['Thriller', 'Documentary']",English,1993,91.22,932.54,False
M0072,Movie 72,"['Thriller', 'Action']",English,2022,126.59,921.16,False
M0970,Movie 970,"['Drama', 'Documentary', 'Romance']",English,2005,139.61,914.86,False
M0126,Movie 126,['Comedy'],English,1997,116.43,911.59,False
M0647,Movie 647,"['Thriller', 'Sci-Fi']",English,1999,103.89,890.47,False
M0934,Movie 934,"['Sci-Fi', 'Action', 'Documentary']",English,2004,160.28,888.84,False
M0190,Movie 190,['Thriller'],English,2019,132.53,886.62,False
M0484,Movie 484,['Action'],English,1996,130.67,883.76,False
M0630,Movie 630,['Documentary'],English,2003,97.04,882.78,False
M0854,Movie 854,['Romance'],English,2009,98.67,881.9,False
M0952,Movie 952,"['Comedy', 'Sci-Fi']",English,1996,129.07,879.93,False
M0073,Movie 73,"['Comedy', 'Drama', 'Thriller']",English,2006,122.81,874.42,False
M0767,Movie 767,['Drama'],English,1991,128.69,857.92,False
M0600,Movie 600,['Romance'],English,1990,127.07,840.63,False
M0982,Movie 982,"['Comedy', 'Drama']",English,2020,141.06,838.97,False
M0247,Movie 247,['Sci-Fi'],English,1998,144.11,833.21,False
M0562,Movie 562,"['Thriller', 'Action', 'Drama']",English,2006,114.64,832.24,False
M0950,Movie 950,"['Action', 'Fantasy', 'Thriller']",English,2004,132.99,826.45,False
M0886,Movie 886,['Comedy'],English,1994,108.63,825.53,False
M0280,Movie 280,['Thriller'],English,2022,109.16,824.84,False
M0649,Movie 649,"['Sci-Fi', 'Comedy']",English,2019,104.26,811.91,False
M0903,Movie 903,"['Romance', 'Fantasy']",English,1991,122.33,811.09,False
M0168,Movie 168,"['Fantasy', 'Thriller']",English,1991,137.38,807.74,False
M0738,Movie 738,"['Fantasy', 'Sci-Fi']",English,2001,137.49,805.86,False
M0796,Movie 796,"['Sci-Fi', 'Action', 'Fantasy']",English,2000,131.04,800.66,False
M0866,Movie 866,"['Thriller', 'Drama', 'Sci-Fi']",English,2011,151.86,776.49,False
M0602,Movie 602,"['Fantasy', 'Thriller', 'Action']",English,2021,127.31,771.57,True
M0227,Movie 227,"['Romance', 'Fantasy']",English,1990,106.82,764.64,False
M0234,Movie 234,"['Sci-Fi', 'Romance']",English,1993,171.68,753.68,True
M0867,Movie 867,"['Fantasy', 'Documentary']",English,1996,133.28,749.16,False
M0513,Movie 513,"['Fantasy', 'Documentary']",English,2018,107.83,748.36,False
M0686,Movie 686,['Thriller'],English,2010,123.26,738.35,True
M0153,Movie 153,"['Action', 'Documentary']",English,2015,120.48,730.93,False
M0477,Movie 477,"['Romance', 'Fantasy']",English,2002,129.12,725.48,False
M0577,Movie 577,"['Comedy', 'Romance']",English,2008,109.03,720.1,False
M0353,Movie 353,"['Romance', 'Action', 'Fantasy']",English,1998,116.49,716.72,False
M0009,Movie 9,"['Action', 'Comedy']",English,2002,106.96,709.13,False
M0889,Movie 889,"['Sci-Fi', 'Romance', 'Comedy']",English,1991,102.07,707.78,False
M0568,Movie 568,"['Thriller', 'Comedy']",English,1993,134.55,706.72,False
M0019,Movie 19,"['Drama', 'Sci-Fi', 'Documentary']",English,2022,117.34,700.45,False
